"","submission_id","age","comments","education","emphasis","experiment_duration","experiment_end_time","experiment_start_time","fragment_type","gender","languages","modality","prolific_pid","prolific_session_id","prolific_study_id","response","responseTime","trial_number","trial_type","monolingual"
"2",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7873,2,"Critical","yes"
"3",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,9063,3,"Critical","yes"
"4",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8302,4,"Critical","yes"
"6",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8992,6,"Critical","yes"
"7",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8231,7,"Critical","yes"
"9",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7577,9,"Critical","yes"
"12",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7464,12,"Critical","yes"
"14",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,6640,14,"Critical","yes"
"15",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8010,15,"Critical","yes"
"18",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8388,18,"Critical","yes"
